date,S. No.,open,high,low,close,adjusted close,volume,dividend amount,split cf
2020-08-03,333,123.5,124.41,122.15,124.31,110.0944968,3526574,0,1
2020-07-31,334,122.71,122.99,121.09,122.94,108.8811635,5277652,0,1
2020-07-30,335,123.71,123.9046,121.64,122.9,108.8457377,3988062,0,1
2020-07-29,336,124.56,125.99,124.07,125.32,110.988998,2833141,0,1
2020-07-28,337,125.82,126.34,124.15,124.47,110.2362,4178176,0,1
2020-07-27,338,124.86,126.32,124.71,126.21,111.7772218,3733547,0,1
2020-07-24,339,126.48,127.6459,125.5,125.79,111.405251,3531076,0,1
2020-07-23,340,129.1,129.37,127.15,127.33,112.7691439,4220136,0,1
2020-07-22,341,125.9,129.47,125.8,128.67,113.9559078,8195366,0,1
2020-07-21,342,131.16,132.17,125.8,126.06,111.6443751,15356679,0,1
2020-07-20,343,126.07,127.07,125.14,126.37,111.918925,9737157,0,1
2020-07-17,344,124.39,125.63,123.2,125.11,110.8030126,3983972,0,1
2020-07-16,345,122.68,124.48,122.16,124.01,109.8288034,4328856,0,1
2020-07-15,346,122.4,123.96,122.15,123,108.9343022,4470095,0,1
2020-07-14,347,118.62,120.89,117.92,120.6,106.8087548,4531393,0,1
2020-07-13,348,119.78,120.99,118.66,119.2,105.5688522,4644595,0,1
2020-07-10,349,115.5,118.57,115.29,118.35,104.8160542,4285088,0,1
2020-07-09,350,118,118,115.2,115.71,102.4779521,4760875,0,1
2020-07-08,351,118.06,118.64,116.48,117.71,104.2492416,5191792,0,1
2020-07-07,352,119,119.51,117.33,117.58,104.1341077,4278088,0,1
2020-07-06,353,121.25,121.85,119.46,120.19,106.4456405,4044188,0,1
2020-07-02,354,119.69,121.42,119.26,119.7,106.0116746,3745663,0,1
2020-07-01,355,120.27,121.23,118.37,118.54,104.9843267,4657168,0,1
2020-06-30,356,119.19,121.2,119,120.77,106.9593144,3916381,0,1
